Technology,Variable,Hour,Value
Wind Power plant 1,G_elec,408,100.0
Wind Power plant 1,G_elec,409,100.0
Wind Power plant 1,G_elec,410,100.0
Wind Power plant 1,G_elec,411,100.0
Wind Power plant 1,G_elec,412,100.0
Wind Power plant 1,G_elec,413,100.0
Wind Power plant 1,G_elec,414,100.0
Wind Power plant 1,G_elec,415,100.0
Wind Power plant 1,G_elec,416,100.0
Wind Power plant 1,G_elec,417,100.0
Wind Power plant 1,G_elec,418,100.0
Wind Power plant 1,G_elec,419,100.0
Wind Power plant 1,G_elec,420,100.0
Wind Power plant 1,G_elec,421,100.0
Wind Power plant 1,G_elec,422,100.0
Wind Power plant 1,G_elec,423,100.0
Wind Power plant 1,G_elec,424,100.0
Wind Power plant 1,G_elec,425,100.0
Wind Power plant 1,G_elec,426,100.0
Wind Power plant 1,G_elec,427,100.0
Wind Power plant 1,G_elec,428,100.0
Wind Power plant 1,G_elec,429,100.0
Wind Power plant 1,G_elec,430,100.0
Wind Power plant 1,G_elec,431,100.0
Wind Power plant 1,G_elec,432,100.0
Wind Power plant 1,G_elec,433,100.0
Wind Power plant 1,G_elec,434,100.0
Wind Power plant 1,G_elec,435,100.0
Wind Power plant 1,G_elec,436,100.0
Wind Power plant 1,G_elec,437,100.0
Wind Power plant 1,G_elec,438,100.0
Wind Power plant 1,G_elec,439,100.0
Wind Power plant 1,G_elec,440,100.0
Wind Power plant 1,G_elec,441,100.0
Wind Power plant 1,G_elec,442,100.0
Wind Power plant 1,G_elec,443,100.0
Wind Power plant 1,G_elec,444,100.0
Wind Power plant 1,G_elec,445,100.0
Wind Power plant 1,G_elec,446,100.0
Wind Power plant 1,G_elec,447,100.0
Wind Power plant 1,G_elec,448,100.0
Wind Power plant 1,G_elec,449,100.0
Wind Power plant 1,G_elec,450,100.0
Wind Power plant 1,G_elec,451,100.0
Wind Power plant 1,G_elec,452,100.0
Wind Power plant 1,G_elec,453,100.0
Wind Power plant 1,G_elec,454,100.0
Wind Power plant 1,G_elec,455,100.0
Wind Power plant 1,G_elec,456,100.0
Wind Power plant 1,G_elec,457,100.0
Wind Power plant 1,G_elec,458,100.0
Wind Power plant 1,G_elec,459,100.0
Wind Power plant 1,G_elec,460,100.0
Wind Power plant 1,G_elec,461,100.0
Wind Power plant 1,G_elec,462,100.0
Wind Power plant 1,G_elec,463,100.0
Wind Power plant 1,G_elec,464,100.0
Wind Power plant 1,G_elec,465,100.0
Wind Power plant 1,G_elec,466,100.0
Wind Power plant 1,G_elec,467,100.0
Wind Power plant 1,G_elec,468,100.0
Wind Power plant 1,G_elec,469,100.0
Wind Power plant 1,G_elec,470,100.0
Wind Power plant 1,G_elec,471,100.0
Wind Power plant 1,G_elec,472,100.0
Wind Power plant 1,G_elec,473,100.0
Wind Power plant 1,G_elec,474,100.0
Wind Power plant 1,G_elec,475,100.0
Wind Power plant 1,G_elec,476,100.0
Wind Power plant 1,G_elec,477,100.0
Wind Power plant 1,G_elec,478,100.0
Wind Power plant 1,G_elec,479,100.0
Wind Power plant 1,G_elec,480,100.0
Wind Power plant 1,G_elec,481,100.0
Wind Power plant 1,G_elec,482,100.0
Wind Power plant 1,G_elec,483,100.0
Wind Power plant 1,G_elec,484,100.0
Wind Power plant 1,G_elec,485,100.0
Wind Power plant 1,G_elec,486,100.0
Wind Power plant 1,G_elec,487,100.0
Wind Power plant 1,G_elec,488,100.0
Wind Power plant 1,G_elec,489,100.0
Wind Power plant 1,G_elec,490,100.0
Wind Power plant 1,G_elec,491,100.0
Wind Power plant 1,G_elec,492,100.0
Wind Power plant 1,G_elec,493,100.0
Wind Power plant 1,G_elec,494,100.0
Wind Power plant 1,G_elec,495,100.0
Wind Power plant 1,G_elec,496,100.0
Wind Power plant 1,G_elec,497,100.0
Wind Power plant 1,G_elec,498,100.0
Wind Power plant 1,G_elec,499,100.0
Wind Power plant 1,G_elec,500,100.0
Wind Power plant 1,G_elec,501,100.0
Wind Power plant 1,G_elec,502,100.0
Wind Power plant 1,G_elec,503,100.0
Wind Power plant 1,G_elec,504,100.0
Wind Power plant 1,G_elec,505,100.0
Wind Power plant 1,G_elec,506,100.0
Wind Power plant 1,G_elec,507,100.0
Wind Power plant 1,G_elec,508,100.0
Wind Power plant 1,G_elec,509,100.0
Wind Power plant 1,G_elec,510,100.0
Wind Power plant 1,G_elec,511,100.0
Wind Power plant 1,G_elec,512,100.0
Wind Power plant 1,G_elec,513,100.0
Wind Power plant 1,G_elec,514,100.0
Wind Power plant 1,G_elec,515,100.0
Wind Power plant 1,G_elec,516,100.0
Wind Power plant 1,G_elec,517,100.0
Wind Power plant 1,G_elec,518,100.0
Wind Power plant 1,G_elec,519,100.0
Wind Power plant 1,G_elec,520,100.0
Wind Power plant 1,G_elec,521,100.0
Wind Power plant 1,G_elec,522,100.0
Wind Power plant 1,G_elec,523,100.0
Wind Power plant 1,G_elec,524,100.0
Wind Power plant 1,G_elec,525,100.0
Wind Power plant 1,G_elec,526,100.0
Wind Power plant 1,G_elec,527,100.0
Wind Power plant 1,G_elec,528,100.0
Wind Power plant 1,G_elec,529,100.0
Wind Power plant 1,G_elec,530,100.0
Wind Power plant 1,G_elec,531,100.0
Wind Power plant 1,G_elec,532,100.0
Wind Power plant 1,G_elec,533,100.0
