http://wwwi2.ymparisto.fi/i2/95/prev_week_e.txt accessed 2023-05-09
 
 Weekly inflow energy  for Finland
 Week 18
 
   Day    GWh/Week   Obs%
 20230501  483.08   98.44  +
 20230502  507.38   98.44  +
 20230503  551.70   98.44  +
 20230504  576.99   98.44  +
 20230505  584.35   98.44  +
 20230506  585.06   96.88  +
 20230507  560.82   96.88  +
 
 Each value is the inflow energy for last 7 day period.
 The inflow energy for the week 18 is
 560.82  GWh.
 
  
  Inflow energy for Finland (GWh/Week)
  Min, max and median values are for the period 1978-2014
      2023  2022
 mmdd   GWh   GWh  Median  Min    Max
 0914   -      96  150.0   66.0  528.2
 0915   -     124  153.9   66.6  484.2
 0916   -     135  162.8   59.5  454.3
 0917   -     151  165.1   53.4  435.9
 0918   -     170  170.8   47.3  428.7
 0919   -     177  170.7   46.9  415.5
 0920   -     164  170.9   47.1  401.0
 0921   -     152  165.2   47.0  389.4
 0922   -     144  160.2   45.3  392.9
 0923   -     132  156.8   42.2  411.2
 0924   -     119  161.9   40.0  443.1
 0925   -     101  169.3   38.3  472.0
 0926   -     112  177.0   43.0  504.5
 0927   -     121  179.8   46.8  524.6
 0928   -     129  183.7   55.0  541.9
 0929   -     126  185.9   56.5  547.2
 0930   -     115  187.7   56.6  547.3
 1001   -     106  184.8   55.8  534.0
 1002   -     117  182.8   57.5  517.0
 1003   -     103  180.8   62.1  489.2
 1004   -     102  180.2   66.1  466.5
 1005   -     109  178.0   66.8  439.3
 1006   -     121  178.2   68.7  426.8
 1007   -     139  179.1   72.2  415.5
 1008   -     153  185.5   76.8  413.4
 1009   -     168  191.0   76.4  409.7
 1010   -     172  196.3   78.6  407.4
 1011   -     174  199.0   81.8  405.7
 1012   -     177  203.4   86.7  411.4
 1013   -     164  208.2   87.5  431.0
 1014   -     163  215.2   86.0  448.7
 1015   -     171  219.0   84.4  461.4
 1016   -     174  219.7   77.1  453.1
 1017   -     184  215.9   75.7  448.6
 1018   -     193  213.7   72.3  443.7
 1019   -     190  210.1   69.9  454.9
 1020   -     194  207.1   65.2  462.8
 1021   -     193  205.0   60.2  466.6
 1022   -     195  204.3   58.4  461.3
 1023   -     181  203.6   54.0  458.6
 1024   -     157  200.0   56.6  455.6
 1025   -     148  194.8   60.5  459.9
 1026   -     148  189.7   70.3  460.7
 1027   -     142  189.8   72.1  473.9
 1028   -     151  192.9   74.7  486.3
 1029   -     158  197.9   74.7  505.1
 1030   -     142  199.2   78.0  515.4
 1031   -     164  203.4   76.3  521.4
 1101   -     176  206.0   71.8  518.1
 1102   -     176  207.5   64.9  508.8
 1103   -     192  206.7   62.3  490.3
 1104   -     189  208.4   60.7  466.3
 1105   -     173  216.3   61.7  436.7
 1106   -     199  223.3   61.6  406.5
 1107   -     197  227.5   64.3  374.3
 1108   -     198  229.5   69.2  354.0
 1109   -     207  230.8   73.7  348.9
 1110   -     208  227.9   74.9  366.3
 1111   -     225  223.2   71.7  386.8
 1112   -     235  218.5   67.5  405.6
 1113   -     236  215.8   66.8  414.8
 1114   -     257  211.8   64.1  419.7
 1115   -     269  205.7   61.9  426.3
 1116   -     261  203.0   56.2  432.9
 1117   -     261  200.5   58.2  439.8
 1118   -     242  196.9   65.9  435.9
 1119   -     235  195.2   76.1  422.5
 1120   -     221  191.4   81.9  405.6
 1121   -     201  195.9   84.0  387.6
 1122   -     172  196.1   83.1  377.0
 1123   -     166  199.0   85.2  374.3
 1124   -     152  196.4   83.4  388.2
 1125   -     145  195.3   81.4  406.4
 1126   -     133  192.9   79.2  424.1
 1127   -     137  190.0   81.3  436.7
 1128   -     129  186.5   82.8  447.6
 1129   -     130  181.3   81.9  453.4
 1130   -     134  179.0   78.0  460.2
 1201   -     136  174.2   74.8  464.9
 1202   -     138  175.1   72.8  467.3
 1203   -     145  176.5   67.4  460.3
 1204   -     141  179.5   60.4  445.4
 1205   -     143  180.9   54.3  425.9
 1206   -     152  181.6   53.4  408.1
 1207   -     143  185.3   54.9  403.8
 1208   -     144  184.5   55.3  416.1
 1209   -     142  182.2   54.0  431.7
 1210   -     144  179.1   55.0  447.4
 1211   -     145  177.7   57.1  458.3
 1212   -     138  174.2   58.5  469.9
 1213   -     136  167.4   57.9  479.3
 1214   -     140  162.8   57.3  486.8
 1215   -     133  161.1   60.1  491.0
 1216   -     129  160.0   63.1  493.7
 1217   -     131  160.0   63.5  490.4
 1218   -     131  158.6   62.4  481.1
 1219   -     135  162.5   64.4  462.9
 1220   -     132  163.4   69.8  439.9
 1221   -     139  164.7   74.0  415.0
 1222   -     144  162.9   75.5  386.4
 1223   -     154  162.7   74.0  361.5
 1224   -     155  163.5   74.6  340.7
 1225   -     159  161.7   74.2  327.4
 1226   -     159  158.1   72.8  315.5
 1227   -     157  155.8   67.7  313.5
 1228   -     144  154.9   61.7  321.8
 1229   -     143  154.9   56.8  338.3
 1230   -     139  152.8   52.0  355.0
 1231   -     144  148.5   47.7  369.6
